UNITID,STAT_IC,LOCK_IC,IMP_IC,STAT_C,LOCK_C,PRCH_C,IDX_C,PCC_F,IMP_C,STAT_E12,LOCK_E12,PRCH_E12,IDX_E12,PCE12_F,IMP_E12 
103909,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103927,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103954,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
103963,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104090,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104151,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104160,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104179,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104346,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104391,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104425,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104443,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104568,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104577,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104586,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104665,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104708,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
104717,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105136,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
105145,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105154,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105206,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105215,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105297,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105330,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105349,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105428,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105525,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105534,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105543,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105589,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105659,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105668,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105677,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105747,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105792,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
105899,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106041,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106148,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106245,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106263,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106306,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106315,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106324,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106342,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106351,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106360,-9,-2,-2,-9,-2,-2,-2,.,-2,-9,-2,-2,-2,.,-2
106397,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106412,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106449,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106458,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106467,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106485,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106494,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106546,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106625,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106704,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106713,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106795,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106810,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106883,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106908,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106980,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
106999,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107044,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107071,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107080,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107099,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107123,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107141,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107220,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107293,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107318,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107327,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107442,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107460,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107488,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107512,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107521,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107549,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107558,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107585,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107600,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107619,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107637,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107655,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107664,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107725,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107743,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107789,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107831,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107840,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107877,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107974,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107983,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
107992,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108056,1,8,-2,-2,-2,-2,-2,.,-2,-2,-2,-2,-2,.,-2
108065,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108092,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108232,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108269,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108667,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108807,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108852,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108861,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108870,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
108977,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109040,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109208,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109350,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109651,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109721,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109730,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109785,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109819,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109907,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
109934,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110060,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110097,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110194,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110219,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110246,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110316,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110334,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110361,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110370,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110398,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110404,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110413,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110422,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
110468,1,8,-2,1,8,-2,-2,.,-2,1,8,-2,-2,.,-2
